day,LA_high,LA_low,LA_precip,LA_snow,LA_snow_depth,Boston_high,Boston_low,Boston_precip,Boston_snow,
31 jul 2017,73.9,63,0,0,0,80.1,61,0,0,-
1 aug 2017,89.1,66,T,0,0,80.1,66.9,0,0,-
2 aug 2017,91,72,0,0,0,81,68,0.96,0,-
3 aug 2017,86,73,0,0,0,84,66,T,0,-
4 aug 2017,81,70,0,0,0,84.9,68,0,0,-
5 aug 2017,81,66.9,0,0,0,77,66.9,0.16,0,-
6 aug 2017,77,66.9,0,0,0,79,63,0,0,-
7 aug 2017,75.9,64,0,0,0,78.1,64,T,0,-
8 aug 2017,80.1,64.9,0,0,0,75,62.1,0,0,-
9 aug 2017,78.1,64,0,0,0,84.9,64.9,0,0,-
10 aug 2017,77,64.9,0,0,0,82,66,0,0,-
11 aug 2017,75.9,63,0,0,0,77,63,0,0,-
12 aug 2017,77,62.1,0,0,0,75.9,63,0.1,0,-
13 aug 2017,77,64,0,0,0,86,70,0,0,-
14 aug 2017,73.9,63,0,0,0,78.1,63,0,0,-
15 aug 2017,73,64,0,0,0,80.1,66,0,0,-
16 aug 2017,73.9,64.9,0,0,0,84.9,66,0,0,-
17 aug 2017,73.9,62.1,0,0,0,82.9,63,0,0,-
18 aug 2017,73.9,63,0,0,0,81,64.9,0.24,0,-
19 aug 2017,75,64,0,0,0,73.9,64.9,0.01,0,-
20 aug 2017,75,64.9,0,0,0,84.9,72,0,0,-
21 aug 2017,75,64.9,0,0,0,87.1,69.1,0,0,-
22 aug 2017,75.9,62.1,0,0,0,91,70,0,0,-
23 aug 2017,73,66,0,0,0,84,69.1,0.04,0,-
24 aug 2017,73,64,0,0,0,81,64,0,0,-
25 aug 2017,75,64.9,0,0,0,75.9,63,T,0,-
26 aug 2017,77,64,0,0,0,73.9,60.1,0,0,-
27 aug 2017,75.9,64,0,0,0,71.1,57.9,0,0,-
28 aug 2017,82.9,64.9,0,0,0,72,57,0,0,-
29 aug 2017,88,68,0,0,0,68,57.9,T,0,-
30 aug 2017,87.1,70,0,0,0,72,59,0.07,0,-
31 aug 2017,95,72,0,0,0,79,60.1,0,0,-
1 sep 2017,98.1,72,0.08,0,0,69.1,53.1,0,0,-
2 sep 2017,97,77,0,0,0,68,53.1,0,0,-
3 sep 2017,99,79,0,0,0,64,57,0.28,0,-
4 sep 2017,80.1,71.1,0.04,0,0,81,57.9,0,0,-
5 sep 2017,79,68,0,0,0,88,64.9,0,0,-
6 sep 2017,82,68,0,0,0,79,62.1,0.22,0,-
7 sep 2017,80.1,64.9,0,0,0,75.9,60.1,0.6,0,-
8 sep 2017,75.9,64,0,0,0,73.9,59,0,0,-
9 sep 2017,77,63,0,0,0,68,55,0.01,0,-
10 sep 2017,84.9,64,0,0,0,69.1,55.9,0,0,-
11 sep 2017,88,68,0,0,0,80.1,55,0,0,-
12 sep 2017,79,64.9,0,0,0,86,61,0,0,-
13 sep 2017,73.9,64.9,0,0,0,78.1,64,0.03,0,-
14 sep 2017,72,60.1,0,0,0,84,66.9,0.33,0,-
15 sep 2017,73,64.9,0,0,0,77,66,0.21,0,-
16 sep 2017,75.9,62.1,0,0,0,73,62.1,0,0,-
17 sep 2017,73,62.1,0,0,0,73,61,0,0,-
18 sep 2017,71.1,60.1,0,0,0,68,63,T,0,-
19 sep 2017,75,64,0,0,0,66,63,0.04,0,-
20 sep 2017,75.9,62.1,0,0,0,72,63,0.27,0,-
21 sep 2017,71.1,64,T,0,0,72,63,0,0,-
22 sep 2017,71.1,57.9,0,0,0,63,57,0.16,0,-
23 sep 2017,71.1,57,0,0,0,75.9,60.1,0.03,0,-
24 sep 2017,82,57.9,0,0,0,79,61,0,0,-
25 sep 2017,82.9,64.9,0,0,0,78.1,64,0,0,-
26 sep 2017,80.1,64,0,0,0,80.1,63,0,0,-
27 sep 2017,81,61,0,0,0,86,64.9,0,0,-
28 sep 2017,82.9,62.1,0,0,0,78.1,57,0,0,-
29 sep 2017,82.9,62.1,0,0,0,68,52,0,0,-
30 sep 2017,77,62.1,0,0,0,59,50,1.55,0,-
1 oct 2017,75,63,0,0,0,66,46.9,0,0,-
2 oct 2017,75,60.1,0,0,0,66,51.1,0,0,-
3 oct 2017,72,60.1,0,0,0,64.9,51.1,0,0,-
4 oct 2017,73.9,55.9,0,0,0,77,53.1,0,0,-
5 oct 2017,79,57,0,0,0,80.1,64,0,0,-
6 oct 2017,88,62.1,0,0,0,78.1,60.1,T,0,-
